Symbol,Sector
ANKITMETAL.NS,Ferrous Metals
ANLON.NS,Commercial Services & Supplies
ANMOL.NS,Consumable Fuels
ANNAPURNA.NS,Food Products
ANONDITA.NS,Personal Products
ANSALAPI.NS,Realty
ANTELOPUS.NS,Oil
ANTGRAPHIC.NS,Industrial Products
ANTHEM.NS,Pharmaceuticals & Biotechnology
ANUHPHR.NS,Pharmaceuticals & Biotechnology
ANUP.NS,Industrial Manufacturing
ANURAS.NS,Chemicals & Petrochemicals
ANYA.NS,Fertilizers & Agrochemicals
ANZEN.NS,Power
APARINDS.NS,Electrical Equipment
APCL.NS,Cement & Cement Products
APCOTEXIND.NS,Industrial Products
APEX.NS,Food Products
APEXECO.NS,Other Utilities
APLAPOLLO.NS,Industrial Products
APLLTD.NS,Pharmaceuticals & Biotechnology
APOLLO.NS,Aerospace & Defense
APOLLOHOSP.NS,Healthcare Services
APOLLOPIPE.NS,Industrial Products
APOLLOTYRE.NS,Auto Components
APOLSINHOT.NS,Leisure Services
APRAMEYA.NS,Healthcare Equipment & Supplies
APS.NS,Electrical Equipment
APSISAERO.NS,Aerospace & Defense
APTECHT.NS,Other Consumer Services
APTUS.NS,Finance
AQYLON.NS,Entertainment
ARABIAN.NS,Petroleum Products
ARCHIDPLY.NS,Consumer Durables
ARCHIES.NS,Consumer Durables
ARCIIL.NS,Industrial Products
ARE&M.NS,Auto Components
ARENTERP.NS,Metals & Minerals Trading
ARFIN.NS,Non - Ferrous Metals
ARHAM.NS,Consumer Durables
ARIES.NS,Fertilizers & Agrochemicals
ARIHANTACA.NS,Other Consumer Services
ARIHANTCAP.NS,Capital Markets
ARIHANTSUP.NS,Realty
ARIS.NS,Other Construction Materials
ARISTO.NS,Fertilizers & Agrochemicals
ARKADE.NS,Realty
ARMANFIN.NS,Finance
ARMOUR.NS,Commercial Services & Supplies
AROGRANITE.NS,Consumer Durables
ARROWGREEN.NS,Industrial Products
ARSHIYA.NS,Transport Services
ARSSBL.NS,Capital Markets
ARTEMISMED.NS,Healthcare Services
ARTNIRMAN.NS,Realty
ARUNAYA.NS,Chemicals & Petrochemicals
ARVEE.NS,Chemicals & Petrochemicals
ARVIND.NS,Textiles & Apparels
ARVINDFASN.NS,Retailing
ARVINDPORT.NS,Transport Services
ARVSMART.NS,Realty
ASAHIINDIA.NS,Auto Components
ASAHISONG.NS,Chemicals & Petrochemicals
ASAL.NS,Auto Components
ASALCBR.NS,Beverages
ASCOM.NS,Finance
ASHALOG.NS,Transport Services
ASHAPURMIN.NS,Minerals & Mining
ASHIANA.NS,Realty
ASHIMASYN.NS,Textiles & Apparels
ASHOKA.NS,Construction
ASHOKAMET.NS,Metals & Minerals Trading
ASHOKLEY.NS,"Agricultural, Commercial & Construction Vehicles"
ASHWINI.NS,Transport Services
ASIANENE.NS,Oil
ASIANHOTNR.NS,Leisure Services
ASIANPAINT.NS,Consumer Durables
ASIANTILES.NS,Consumer Durables
ASKAUTOLTD.NS,Auto Components
ASLIND.NS,Auto Components
ASMS.NS,IT - Services
ASPINWALL.NS,Transport Services
ASPIRE.NS,Consumer Durables
ASTEC.NS,Fertilizers & Agrochemicals
ASTERDM.NS,Healthcare Services
ASTRAL.NS,Industrial Products
